"","Type","Bedrooms","Bathrooms","mean_price"
"125","Condo Townhouse Stacked Townhse","3","1",2050
"126","Condo Townhouse Stacked Townhse","3","2",2328.57142857143
"127","Condo Townhouse Stacked Townhse","3","3",3575
"128","Condo Townhouse Stacked Townhse","4","2",2500
"129","Condo Townhouse Stacked Townhse","4","3",4500
"130","Detached 1 1/2 Storey","1","1",1347.5
"131","Detached 1 1/2 Storey","2","1",2180
"132","Detached 1 1/2 Storey","2","2",1500
"133","Detached 1 1/2 Storey","3","2",3180
"134","Detached 1 1/2 Storey","3","3",4200
"135","Detached 1 1/2 Storey","4","3",3950
"136","Detached 2-Storey","1","1",1564.25
"137","Detached 2-Storey","2","1",2532.125
"138","Detached 2-Storey","2","2",2961.875
"139","Detached 2-Storey","3","1",2262.63636363636
"140","Detached 2-Storey","3","2",3560.9375
"141","Detached 2-Storey","3","3",3960
"142","Detached 2-Storey","3","4",8195
"143","Detached 2-Storey","3","5",7500
"144","Detached 2-Storey","4","2",3855.55555555556
"145","Detached 2-Storey","4","3",5269.93333333333
"146","Detached 2-Storey","4","4",4943.52941176471
"147","Detached 2-Storey","4","5",5600
"148","Detached 2-Storey","4","6",8800
"149","Detached 2-Storey","4","7",11900
"150","Detached 2-Storey","5","2",4465
"151","Detached 2-Storey","5","3",3319.8
"152","Detached 2-Storey","5","4",4813.88888888889
"153","Detached 2-Storey","5","5",6792.85714285714
"154","Detached 2-Storey","5","6",6150
"155","Detached 2-Storey","5","7",12400
"156","Detached 2-Storey","6","3",4950
"157","Detached 2-Storey","6","4",4833.33333333333
"158","Detached 2-Storey","6","5",5670
"159","Detached 2-Storey","6","6",6700
"160","Detached 2-Storey","6","7",7266.66666666667
"161","Detached 2-Storey","7","3",3000
"162","Detached 2-Storey","7","4",5500
"163","Detached 2-Storey","7","5",5563
"164","Detached 2-Storey","7","6",7366.66666666667
"165","Detached 2-Storey","7","8",6800
"166","Detached 2-Storey","8","7",7200
"167","Detached 2 1/2 Storey","1","1",2250
"168","Detached 2 1/2 Storey","2","1",1975
"169","Detached 2 1/2 Storey","4","3",7550
"170","Detached 2 1/2 Storey","4","4",4500
"171","Detached 2 1/2 Storey","4","5",4000
"172","Detached 2 1/2 Storey","5","2",5200
"173","Detached 2 1/2 Storey","5","3",4450
"174","Detached 2 1/2 Storey","5","4",5200
"175","Detached 2 1/2 Storey","6","4",7900
"176","Detached 2 1/2 Storey","6","5",7950
"177","Detached 3-Storey","1","1",1950
"178","Detached 3-Storey","2","1",2540
"179","Detached 3-Storey","2","2",3900
"180","Detached 3-Storey","3","2",4300
"181","Detached 3-Storey","3","3",5500
"182","Detached 3-Storey","4","4",4960
"183","Detached 3-Storey","4","5",12000
"184","Detached 3-Storey","5","2",5995
"185","Detached 3-Storey","6","5",10500
"186","Detached 3-Storey","7","5",11900
