"","Id","Address","Bedrooms","Bathrooms","Type","Price"
"3076","C4390556","119 Harlandale Ave, Toronto","6","4","Detached 2-Storey",7500
"3077","C4265764","8 Telegram Mews 815, Toronto","4","3","Condo Apt 2-Storey",7500
"3078","C4373220","1 Bloor St E 7206, Toronto","3","3","Comm Element Condo Apartment",7500
"3079","C4289082","311 Bay St 3503, Toronto","2","2","Condo Apt Apartment",7500
"3080","C4356770","183 Wellington St W 2505, Toronto","1","2","Condo Apt Apartment",7500
"3081","C4268832","40 Maple Ave 1, Toronto","2","3","Att/Row/Twnhouse 2-Storey",7500
"3082","C4386458","10 Brandy Crt, Toronto","7","6","Detached 2-Storey",7500
"3083","C4386838","68 Yorkville Ave 705, Toronto","2","2","Condo Apt Apartment",7500
"3084","C4395569","180 University Ave 4309, Toronto","2","3","Condo Apt Apartment",7500
"3085","C4386520","46 Jedburgh Rd, Toronto","3","5","Detached 2-Storey",7500
"3086","C4353314","3 Iceboat Terr G15, Toronto","4","3","Condo Townhouse 2-Storey",7500
"3087","C4363619","27 Poplar Plains Cres, Toronto","4","3","Detached 2 1/2 Storey",7650
"3088","C4341908","311 Bay St 3803, Toronto","2","2","Condo Apt Apartment",7780
"3089","C4363597","3 Bowan Crt, Toronto","6","7","Detached 2-Storey",7800
"3090","C4327037","70 Crescent Rd, Toronto","4","3","Semi-Detached 2 1/2 Storey",7800
"3091","C4374647","38 Fort York Blvd G3, Toronto","3","3","Condo Townhouse 2-Storey",7850
"3092","C4380493","21 Alexandra Wood, Toronto","4","3","Detached 2-Storey",7900
"3093","C4370799","80 Yorkville Ave 303, Toronto","2","2","Condo Apt Apartment",7900
"3094","C4317849","392 Elm Rd, Toronto","4","4","Detached 2-Storey",7900
"3095","C4354025","311 Bay St 4202, Toronto","2","2","Condo Apt Apartment",7900
"3096","C4367576","180 University Ave 2909, Toronto","2","3","Condo Apt Apartment",7900
"3097","C4394541","137 Roxborough Dr, Toronto","6","4","Detached 2 1/2 Storey",7900
"3098","C4292144","320 Glenayr Rd, Toronto","6","5","Detached 2 1/2 Storey",7950
"3099","C4394686","8 Charlotte St 3505, Toronto","4","3","Condo Apt Loft",7995
"3100","C4397837","12 York Ridge Rd, Toronto","7","5","Detached 2-Storey",7999
"3101","C4345207","311 Bay St S 4604, Toronto","2","2","Comm Element Condo Apartment",8000
"3102","C4390084","180 University Ave 4405, Toronto","3","3","Condo Apt Apartment",8000
"3103","C4374835","38 Caswell Dr, Toronto","6","7","Detached 2-Storey",8000
"3104","C4390085","180 University Ave 3506, Toronto","3","3","Condo Apt Apartment",8000
"3105","C4361205","88 Davenport Rd 1201, Toronto","2","3","Condo Apt Apartment",8200
"3106","C4394552","311 Bay St 4303, Toronto","2","2","Condo Apt Apartment",8200
"3107","C4336985","183 Wellington St 3702, Toronto","2","2","Condo Apt Apartment",8250
"3108","C4344682","40 Oaklands Ave 339, Toronto","2","3","Comm Element Condo 3-Storey",8500
"3109","C4394708","77 Charles St W 801, Toronto","2","2","Condo Apt Apartment",8500
"3110","C4370142","311 Bay St 4104, Toronto","2","2","Condo Apt Apartment",8500
"3111","C4337380","633 Bay St Ph14, Toronto","2","2","Condo Apt Apartment",8500
"3112","C4386839","68 Yorkville Ave 705, Toronto","2","2","Condo Apt Apartment",8500
"3113","W4392458","62 Harshaw Ave, Toronto","6","5","Detached 3-Storey",8500
"3114","C4349161","180 University Ave 4206, Toronto","3","3","Condo Apt Apartment",8500
"3115","C4369135","101 St Clair Ave W 2104, Toronto","3","2","Condo Apt Apartment",8700
"3116","C4387530","5 Blaine Dr, Toronto","4","6","Detached 2-Storey",8800
"3117","C4369128","101 St Clair Ave W 1504, Toronto","3","2","Condo Apt Apartment",8800
"3118","C4389055","8 Charlotte St 3505, Toronto","4","3","Condo Apt Loft",8995
"3119","C4385841","180 University Ave 4905, Toronto","3","2","Condo Apt Apartment",9000
"3120","C4274750","42 Yorkminster Rd, Toronto","7","6","Detached 2-Storey",9000
"3121","C4372538","183 Wellington St W 2901, Toronto","2","2","Condo Apt Apartment",9000
"3122","C4265756","10 Capreol Crt Ph2009, Toronto","4","3","Condo Apt 2-Storey",9500
"3123","C4393558","180 University Ave 4005, Toronto","3","3","Condo Apt Apartment",9500
"3124","C4359952","101 St Clair Ave W 504, Toronto","3","2","Condo Apt Apartment",9500
"3125","C4353310","38 Dan Leckie Way Ph1, Toronto","3","3","Condo Apt Apartment",9900
"3126","C4365079","21 Iceboat Terr Ph10, Toronto","4","4","Condo Apt 2-Storey",10000
"3127","C4372542","183 Wellington St W 2901, Toronto","2","2","Condo Apt Apartment",10000
"3128","C4380555","61 Yorkville Ave Phd, Toronto","1","2","Condo Apt Apartment",10000
"3129","C4383806","30 Nelson St 28, Toronto","4","3","Condo Townhouse 2-Storey",10000
"3130","C4390089","180 University Ave 3506, Toronto","3","3","Condo Apt Apartment",10000
"3131","C4375708","55 Scollard St 605, Toronto","3","3","Condo Apt Apartment",10300
"3132","C4358470","388 Yonge St 7910, Toronto","3","3","Condo Apt Apartment",11000
"3133","C4364650","61 Yorkville Ave 14D, Toronto","3","3","Condo Apt Apartment",11200
"3134","C4395924","63 Highland Ave, Toronto","7","5","Detached 3-Storey",11900
"3135","C4396918","2 Dinan St, Toronto","4","7","Detached 2-Storey",11900
