daydate,count,tone
20150218,12,0.5453112112179247
20150219,92,0.052328107097431513
20150220,51,-0.0902745618468197
20150221,23,0.038718667851952028
20150222,7,0.28194784758882174
20150223,44,-0.33829868921572537
20150224,83,0.55088696116341918
20150225,178,0.60813372046122893
20150226,100,-0.10168580157058524
20150227,69,0.73881355524072867
20150228,19,0.21761995805827686
20150301,21,-0.54325830458773983
20150302,90,0.72029263948204
20150303,203,0.076651551375103363
20150304,153,-0.0057928036381978965
20150305,187,0.61834109493273
20150306,113,1.6844289080804762
20150307,16,1.3394565544168175
20150308,37,0.50129049272185411
20150309,192,0.052281699106827909
20150310,187,0.55026959678957932
20150311,118,0.32296419607409022
20150312,154,-0.6973177298690898
20150313,154,-0.87169765926903742
20150314,43,-0.54112146233432512
20150315,22,-0.3477927823903687
20150316,120,0.21240220841336332
20150317,189,-1.2232989998537354
20150318,179,-0.65892821169083637
20150319,107,0.49859727646155494
20150320,62,-0.25372309066009735
20150321,24,-0.311419342533841
20150322,56,-0.779752115542699
20150323,103,0.11881347310244872
20150324,147,-0.752922325578007
20150325,101,0.43272761584902697
20150326,70,0.70476968183458
20150327,91,0.60219363580728225
20150328,97,1.4256764382501219
20150329,62,-2.1720821322003028
20150330,113,0.223605597824039
20150331,154,0.91366510311429738
20150401,82,0.64007825689842757
20150402,127,0.769110435181311
20150403,25,-0.3155421147235663
20150404,24,-0.98917727984737447
20150405,28,-0.30764555222183815
20150406,139,-0.36962830881106529
20150407,150,0.29219458541418886
20150408,154,0.61222225348421344
20150409,81,-0.28501609858471288
20150410,127,0.42699153291977993
20150411,44,-0.15506580714806328
20150412,25,-0.044657852852990433
20150413,134,0.29491303394706692
20150414,136,0.33145237613777379
20150415,160,-0.31270327114544261
20150416,83,0.69449894630398035
20150417,150,0.43852235982554083
20150418,11,0.35916591253995522
20150419,21,-0.23302839721320368
20150420,90,0.90612654241626578
20150421,86,0.34400765164213254
20150422,117,0.47652808775091915
20150423,129,0.9305924207051044
20150424,70,0.64735763936954716
20150425,34,-0.38460657858298331
20150426,14,-1.4860769702507022
20150427,64,0.85687661793197467
20150428,130,0.78473433844763441
20150429,103,0.31259620645961778
20150430,200,-1.2402862777956405
20150501,112,-0.017133675299970227
20150502,98,-3.4226574264683771
20150503,67,-0.89677378760340265
20150504,85,0.65322633845871947
20150505,142,0.3426397593729763
20150506,209,-0.69732242140797451
20150507,114,-0.0035603199522261653
20150508,134,0.49433151146520021
20150509,23,0.11056130434657602
20150510,31,1.320497185214605
20150511,133,-0.47344914838892849
20150512,141,0.77335805874639618
20150513,149,-0.55212830220269371
20150514,114,0.88692362210966513
20150515,161,0.76971277225288781
20150516,30,-0.32470164707802651
20150517,24,-0.21723139513114395
20150518,56,1.1722667974809764
20150519,86,0.58740538721176827
20150520,119,0.97365881761258688
20150521,179,0.41804347002608572
20150522,135,-0.24250237663958213
20150523,34,-0.74107077605974392
20150524,18,-0.38667561306733728
20150525,117,0.47234210665647058
20150526,115,0.36020472358071765
20150527,87,-0.019416278461622472
20150528,104,0.3894275552002589
20150529,98,0.28317010128334918
20150530,73,-3.16018839434264
20150531,27,-0.12432927164558366
20150601,94,1.0990879816280208
20150602,123,1.1025738763756574
20150603,105,-0.35801934889996606
20150604,182,-0.50902668242486626
20150605,85,-0.5917477900938003
20150606,17,-0.83008781074761739
20150607,48,-0.0054883642699557963
20150608,139,0.1739811288211166
20150609,109,0.83630541498184363
20150610,135,-0.57588237966352385
20150611,135,-1.561797296674055
20150612,156,-1.0138326744702109
20150613,29,-1.1425199791095062
20150614,85,-1.3990984025590192
20150615,289,0.33920284232495296
20150616,195,-0.53538644829569482
20150617,119,0.83832947097787369
20150618,151,-2.2733608812216612
20150619,158,0.47939967710720538
20150620,14,-0.60817987990740041
20150621,13,-1.296576792771432
20150622,178,-0.0958016162472082
20150623,106,0.62224194542593214
20150624,77,0.46580928785103393
20150625,73,-0.14637924561426296
20150626,80,0.27918247558662446
20150627,14,0.70850755171912572
20150628,19,-1.5697283269833731
20150629,91,1.3049801310109197
20150630,127,0.46654124118946116
20150701,70,0.27807177352010137
20150702,102,0.38067170769031367
20150703,72,0.67548170310696554
20150704,31,0.93508782623306375
20150705,87,-2.761012979230018
20150706,96,0.14594350599024758
20150707,182,-0.069341048926912341
20150708,124,0.46867154878406697
20150709,302,-1.7841734712563146
20150710,111,0.080385425482896941
20150711,41,-0.23469248521119943
20150712,83,-1.1468003580616255
20150713,127,-0.43388030841033831
20150714,200,0.43115190238061352
20150715,169,-1.0455943692291989
20150716,153,-0.14854547066264664
20150717,147,0.22961096184839447
20150718,85,-1.1805226028263336
20150719,28,-0.32712956474364169
20150720,95,0.23195012026650022
20150721,110,0.32360956855378242
20150722,131,0.10949262556887498
20150723,165,0.53980504459194978
20150724,86,0.31014918316892515
20150725,23,-0.557200450662939
20150726,25,0.23932749249042609
20150727,90,1.7619904115733265
20150728,117,0.159477017292182
20150729,133,-0.0048182754765864338
20150730,134,-0.11302036827487391
20150731,173,-1.1308277523863721
20150801,65,-1.7164803753056068
20150802,43,-1.0010454885265179
20150803,39,0.8377033979477847
20150804,140,0.84591351172568685
20150805,87,0.44287602809582061
20150806,128,0.41825846965180585
20150807,139,-1.1186702948877074
20150808,20,0.38514121216887515
20150809,50,0.2210456200315522
20150810,86,0.68049904567614161
20150811,295,-2.4700038249371881
20150812,141,-0.52913617290713288
20150813,275,-1.1566753090738711
20150814,210,-1.1689945683306735
20150815,52,-1.1064643427102008
20150816,80,-0.9649170311022498
20150817,60,-0.96762226284003428
20150818,125,1.1297408734772336
20150819,150,-0.0699828028933703
20150820,137,-0.39695900001172557
20150821,114,-0.644854269238316
20150822,51,-0.93523300519254016
20150823,38,-0.979129378602818
20150824,81,0.069970781952318914
20150825,144,0.5799469971810105
20150826,134,-1.006419978356653
20150827,104,0.15265054325271629
20150828,111,-0.21369174252011144
20150829,51,0.14632956036691885
20150830,29,0.95966295551483294
20150831,176,0.65956349705287165
20150901,272,-1.9763820342899197
20150902,168,-0.47930611831195136
20150903,84,0.99333473254758919
20150904,114,0.020227776035748941
20150905,42,-0.23124451503079971
20150906,44,-0.18356791908804637
20150907,30,-0.0086542013946792062
20150908,80,0.76799747766569715
20150909,166,0.33675517152323292
20150910,211,0.95663820285402168
20150911,94,0.14844892163668616
20150912,29,0.35446031071016881
20150913,46,0.10025120094255296
20150914,115,-0.36308647449698367
20150915,136,-0.14480724921118354
20150916,174,-0.14354692580249154
20150917,139,1.1743873012061936
20150918,189,-1.4111062511599066
20150919,20,-0.49505797054427414
20150920,23,0.41744548808479542
20150921,99,0.24874370350801289
20150922,183,-0.8592535239727942
20150923,316,-1.4990881264459837
20150924,155,-0.26949584345512484
20150925,87,0.3450609299504645
20150926,112,-5.258287362807998
20150927,60,-4.5340686531185428
20150928,48,0.50051780592579043
20150929,134,0.19179638680365918
20150930,125,-0.19547717251653202
20151001,130,0.76903818182195716
20151002,81,0.048476115517687261
20151003,30,-0.28371568250952067
20151004,28,-1.7984862518809046
20151005,88,0.050854751377682979
20151006,67,0.336293040660814
20151007,192,-0.93464279548160656
20151008,156,0.24509467522724804
20151009,85,0.66907751672438687
20151010,77,-0.089047859841724281
20151011,29,0.44544955541577419
20151012,53,-0.18450400309480081
20151013,71,0.39962076708912453
20151014,136,0.53009210689706454
20151015,195,-0.21424270053090741
20151016,122,0.28986178012953778
20151017,41,0.30620720748547836
20151018,38,1.071259962570337
20151019,200,1.0236076257122857
20151020,119,1.0260073590621528
20151021,14,-0.070806138069058777
20151022,3,-0.73421013169251514
20151023,83,0.4800899618589492
20151024,27,0.42698388532482129
20151025,52,-0.037628029516022725
20151026,138,-1.0786364678953837
20151027,152,0.43028529269782012
20151028,168,-0.60325515092365223
20151029,254,-2.1181537400809036
20151030,169,-0.30819907349162812
20151031,33,-0.50270290673223528
20151101,27,-1.0412815815575778
20151102,126,-1.740979838612027
20151103,121,0.71275502469311047
20151104,149,0.820763022758056
20151105,167,0.3982587625693591
20151106,110,0.17474821252836192
20151107,22,0.38567129274120132
20151108,14,0.73050661219387869
20151109,117,0.15535846928370278
20151110,94,0.33325128854325936
20151111,110,-0.087916470006554337
20151112,162,0.94718871685446615
20151113,193,-0.17066266699149468
20151114,45,-1.2085583070698396
20151115,36,0.54981097255577682
20151116,147,-0.31274506659278795
20151117,108,0.37108743190329563
20151118,111,1.1760527353662882
20151119,86,0.92564162027842589
20151120,85,-0.18314668414170474
20151121,34,0.011964650839528329
20151122,27,-0.64094720293787466
20151123,260,1.6355282582485335
20151124,128,0.85073939450035974
20151125,112,0.91592380810481688
20151126,107,0.37611241939398476
20151127,99,0.30843017413544643
20151128,57,0.065351255330761152
20151129,46,-1.0591168257838128
20151130,204,-1.8878711729791029
20151201,171,-2.2044621103588589
20151202,133,-0.47638485190980068
20151203,174,0.15546694730763536
20151204,156,0.28767543831310621
20151205,72,-0.46842404776215735
20151206,53,0.4776430617546123
20151207,99,1.176538769790753
20151208,166,-0.47548838137478611
20151209,151,-0.20095760047389274
20151210,163,-0.26566339698873009
20151211,268,-0.95209173520676582
20151212,58,-0.85650339229992789
20151213,71,-1.0049577691969234
20151214,152,-0.41807540778618391
20151215,268,-1.6728412096408105
20151216,161,-0.64539809874848519
20151217,163,0.41453777394286151
20151218,107,0.97548450051036184
20151219,26,-1.2451656717501942
20151220,65,-1.1544887051962829
20151221,97,-0.027763655475117072
20151222,156,-1.294289291706709
20151223,187,-0.14448049342916558
20151224,87,0.35131335256312118
20151225,65,-0.79413500856859287
20151226,36,-0.13011311114066626
20151227,29,-0.12085901634343084
20151228,33,0.24560641674708361
20151229,57,-0.59471490522905324
20151230,78,0.068478429124858561
20151231,64,-0.48797493152927285
20160101,30,0.43191668874276529
20160102,22,1.0963772598216559
20160103,48,-0.40508589154180041
20160104,95,0.67382330016411562
20160105,105,0.638796531151001
20160106,196,0.70549869084845107
20160107,186,-0.3892683687558981
20160108,108,-0.060365346655211073
20160109,50,-0.58247487465674508
20160110,44,-0.32211488331776483
20160111,123,0.309890021561446
20160112,287,-0.11144615097111955
20160113,212,0.17535308191659596
20160114,124,0.78920464943377022
