Id,Address,Bedrooms,Bathrooms,Type,Price
C4391598,"205 Gerrard St E 7, Toronto",1,1,Multiplex Apartment,1550
C4364383,"1715 Bathurst St 103, Toronto",1,1,Multiplex 3-Storey,1550
C4367424,"33 Alexis Blvd Lower, Toronto",1,1,Detached Bachelor/Studio,1585
E4380721,"75 Halsey Ave 408, Toronto",1,1,Condo Apt Apartment,1585
W4381820,"29 Elma St Top Flr, Toronto",2,1,Triplex Apartment,1595
W4386093,"50 Carling Ave, Toronto",1,1,Duplex 2-Storey,1595
E4356569,"29 Ravenview Dr, Toronto",3,2,Detached Bungalow,1600
W4375899,"2458 Islington Ave, Toronto",2,1,Detached Bungalow,1600
C4356061,"2 Centurion Crt Bsmt, Toronto",2,1,Detached Apartment,1600
C4397593,"28 Ted Rogers Way 2909Mr, Toronto",2,1,Condo Apt Apartment,1600
C4390973,"1801 Eglinton Ave W 106, Toronto",1,1,Condo Apt Apartment,1600
W4397311,"209 Pellatt Ave Bsmt, Toronto",2,1,Semi-Detached Bungalow,1600
C4380407,"54 Evanston Dr Bsmt, Toronto",1,1,Detached Bungalow,1600
W4389203,"105 The Queensway Ave 702, Toronto",1,1,Condo Apt Apartment,1600
E4380533,"107 Greenwood Ave, Toronto",1,1,Semi-Detached 2-Storey,1600
C4392965,"92 Mitchell Ave Lower, Toronto",1,1,Att/Row/Twnhouse 2-Storey,1600
W4329943,"2114 Islington Ave, Toronto",1,1,Detached 2-Storey,1600
W4371175,"3210 Lakeshore Blvd W 4, Toronto",2,1,Upper Level Apartment,1600
C4370769,"128 Fairview Mall Dr 609, Toronto",1,1,Condo Apt Apartment,1630
W4394123,"757 Dovercourt Rd D, Toronto",1,1,Condo Apt Apartment,1650
W4349758,"294 Culford Rd, Toronto",1,1,Detached Bungalow,1650
C4372079,"101 Peter St 702, Toronto",1,1,Condo Apt Apartment,1650
C4377446,"170 Sumach St 1105, Toronto",1,1,Condo Apt Apartment,1650
W4384802,"47 Radlett Ave Bsmnt, Toronto",2,1,Detached Bungalow,1650
