"","Bedrooms","mean_price2"
"1","1",2080.23734271305
"2","2",2816.91976475283
"3","3",4209.51545091156
"4","4",5707.04159163922
"5","5",6445.36264550265
"6","6",7533.63636363636
"7","7",7732.80952380952
"8","8",7200
